sample_id,candidate_id,decision_timestamp,old_direction,recovered_direction,final_direction,direction_source,direction_confidence,direction_recovery_reason,conflicting_evidence,pre_entry_only,used_post_entry_data,usable_for_directional_replay
sample_027,,2026-05-18T11:30:00+00:00,SHORT,UNKNOWN,SHORT,EXISTING_METADATA,3,Existing visual-pack direction preserved.,,True,False,True
sample_028,,2026-05-18T16:45:00+00:00,SHORT,UNKNOWN,SHORT,EXISTING_METADATA,3,Existing visual-pack direction preserved.,,True,False,True
sample_029,,2026-05-18T01:00:00+00:00,LONG,UNKNOWN,LONG,EXISTING_METADATA,3,Existing visual-pack direction preserved.,,True,False,True
sample_030,,2026-05-13T13:30:00+00:00,UNKNOWN,SHORT,SHORT,PRE_DECISION_SWEEP_INFERENCE,2,M1_UPWARD_SWEEP;sweep_timestamp=2026-05-13T13:09:00+00:00;sweep_extreme=4710.45;swept_level=4708.16;sweep_confidence=HIGH;PRE_ANCHOR_UPWARD_SWEEP_REJECTED_OR_MOVED_AWAY|CONTROL_SWEEP_USED_PRE_ANCHOR_CANDLES_ONLY|ANCHOR_CANDLE_EXCLUDED|POST_ANCHOR_CANDLES_EXCLUDED;raw_confidence=HIGH,,True,False,True
sample_031,,2026-05-11T07:15:00+00:00,UNKNOWN,LONG,LONG,PRE_DECISION_SWEEP_INFERENCE,2,M1_DOWNWARD_SWEEP;sweep_timestamp=2026-05-11T07:03:00+00:00;sweep_extreme=4673.47;swept_level=4675.57;sweep_confidence=HIGH;PRE_ANCHOR_DOWNWARD_SWEEP_REJECTED_OR_MOVED_AWAY|CONTROL_SWEEP_USED_PRE_ANCHOR_CANDLES_ONLY|ANCHOR_CANDLE_EXCLUDED|POST_ANCHOR_CANDLES_EXCLUDED;raw_confidence=HIGH,,True,False,True
sample_032,,2026-03-24T01:15:00+00:00,UNKNOWN,SHORT,SHORT,PRE_DECISION_SWEEP_INFERENCE,2,M5_UPWARD_SWEEP;sweep_timestamp=2026-03-24T01:10:00+00:00;sweep_extreme=4437.6;swept_level=4437.29;sweep_confidence=MEDIUM;PRE_ANCHOR_UPWARD_SWEEP_REJECTED_OR_MOVED_AWAY|CONTROL_SWEEP_USED_PRE_ANCHOR_CANDLES_ONLY|ANCHOR_CANDLE_EXCLUDED|POST_ANCHOR_CANDLES_EXCLUDED;raw_confidence=MEDIUM,,True,False,True
sample_033,,2026-05-18T14:00:00+00:00,LONG,UNKNOWN,LONG,EXISTING_METADATA,3,Existing visual-pack direction preserved.,,True,False,True
sample_034,,2026-05-18T02:30:00+00:00,LONG,UNKNOWN,LONG,EXISTING_METADATA,3,Existing visual-pack direction preserved.,,True,False,True
sample_035,,2026-05-18T09:15:00+00:00,SHORT,UNKNOWN,SHORT,EXISTING_METADATA,3,Existing visual-pack direction preserved.,,True,False,True
sample_036,,2026-05-18T10:30:00+00:00,SHORT,UNKNOWN,SHORT,EXISTING_METADATA,3,Existing visual-pack direction preserved.,,True,False,True
sample_037,,2026-05-15T16:45:00+00:00,LONG,UNKNOWN,LONG,EXISTING_METADATA,3,Existing visual-pack direction preserved.,,True,False,True
sample_038,,2026-05-11T13:45:00+00:00,UNKNOWN,SHORT,SHORT,PRE_DECISION_SWEEP_INFERENCE,2,M1_UPWARD_SWEEP;sweep_timestamp=2026-05-11T13:31:00+00:00;sweep_extreme=4666.72;swept_level=4665.86;sweep_confidence=MEDIUM;PRE_ANCHOR_UPWARD_SWEEP_REJECTED_OR_MOVED_AWAY|CONTROL_SWEEP_USED_PRE_ANCHOR_CANDLES_ONLY|ANCHOR_CANDLE_EXCLUDED|POST_ANCHOR_CANDLES_EXCLUDED;raw_confidence=MEDIUM,,True,False,True
sample_039,,2026-05-08T07:00:00+00:00,UNKNOWN,SHORT,SHORT,PRE_DECISION_SWEEP_INFERENCE,2,M1_UPWARD_SWEEP;sweep_timestamp=2026-05-08T06:35:00+00:00;sweep_extreme=4731.1;swept_level=4730.66;sweep_confidence=MEDIUM;PRE_ANCHOR_UPWARD_SWEEP_REJECTED_OR_MOVED_AWAY|CONTROL_SWEEP_USED_PRE_ANCHOR_CANDLES_ONLY|ANCHOR_CANDLE_EXCLUDED|POST_ANCHOR_CANDLES_EXCLUDED;raw_confidence=MEDIUM,,True,False,True
sample_040,,2026-03-23T00:45:00+00:00,UNKNOWN,SHORT,SHORT,PRE_DECISION_SWEEP_INFERENCE,2,M1_UPWARD_SWEEP;sweep_timestamp=2026-03-23T00:28:00+00:00;sweep_extreme=4536.29;swept_level=4532.08;sweep_confidence=HIGH;PRE_ANCHOR_UPWARD_SWEEP_REJECTED_OR_MOVED_AWAY|CONTROL_SWEEP_USED_PRE_ANCHOR_CANDLES_ONLY|ANCHOR_CANDLE_EXCLUDED|POST_ANCHOR_CANDLES_EXCLUDED;raw_confidence=HIGH,,True,False,True
