candidate_id,candidate_source,date,decision_timestamp,diagnostic_outcome_group,diagnostic_outcome_mapping_reason,direction,direction_confidence,direction_rule_version,direction_source,entry_price,exclude_reason,hour,pre_entry_only,sample_id,sample_source,session,symbol,used_post_entry_data_for_direction,visual_html_path
sample_208,SWEEP_EXTREME,2026-03-17,2026-03-17T12:15:00+00:00,EXCLUDED,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL,SHORT,2,adelin_v2_pre_decision_sweep_v1,M5,,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL|MISSING_ENTRY_PRICE,12,True,sample_208,EXISTING_EXPANDED_OBJECTIVE_REPLAY,NEW_YORK,XAUUSD,False,examples/sample_208.html
sample_210,SWEEP_EXTREME,2026-04-16,2026-04-16T06:45:00+00:00,EXCLUDED,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL,LONG,2,adelin_v2_pre_decision_sweep_v1,M5,,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL|MISSING_ENTRY_PRICE,6,True,sample_210,EXISTING_EXPANDED_OBJECTIVE_REPLAY,LONDON_OPEN,XAUUSD,False,examples/sample_210.html
sample_216,SWEEP_EXTREME,2026-03-17,2026-03-17T17:00:00+00:00,EXCLUDED,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL,SHORT,2,adelin_v2_pre_decision_sweep_v1,M5,,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL|MISSING_ENTRY_PRICE,17,True,sample_216,EXISTING_EXPANDED_OBJECTIVE_REPLAY,OTHER,XAUUSD,False,examples/sample_216.html
sample_224,SWEEP_EXTREME,2026-03-18,2026-03-18T14:15:00+00:00,EXCLUDED,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL,LONG,2,adelin_v2_pre_decision_sweep_v1,M5,,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL|MISSING_ENTRY_PRICE,14,True,sample_224,EXISTING_EXPANDED_OBJECTIVE_REPLAY,NEW_YORK_OPEN,XAUUSD,False,examples/sample_224.html
sample_232,SWEEP_EXTREME,2026-03-19,2026-03-19T00:15:00+00:00,EXCLUDED,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL,LONG,3,adelin_v2_pre_decision_sweep_v1,M5,,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL|MISSING_ENTRY_PRICE,0,True,sample_232,EXISTING_EXPANDED_OBJECTIVE_REPLAY,ASIA,XAUUSD,False,examples/sample_232.html
sample_234,SWEEP_EXTREME,2026-04-20,2026-04-20T01:45:00+00:00,EXCLUDED,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL,LONG,2,adelin_v2_pre_decision_sweep_v1,M5,,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL|MISSING_ENTRY_PRICE,1,True,sample_234,EXISTING_EXPANDED_OBJECTIVE_REPLAY,ASIA,XAUUSD,False,examples/sample_234.html
sample_244,SWEEP_EXTREME,2026-05-19,2026-05-19T17:45:00+00:00,EXCLUDED,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL,LONG,2,adelin_v2_pre_decision_sweep_v1,M5,,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL|MISSING_ENTRY_PRICE,17,True,sample_244,EXISTING_EXPANDED_OBJECTIVE_REPLAY,OTHER,XAUUSD,False,examples/sample_244.html
sample_246,SWEEP_EXTREME,2026-02-23,2026-02-23T10:15:00+00:00,EXCLUDED,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL,SHORT,2,adelin_v2_pre_decision_sweep_v1,M5,,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL|MISSING_ENTRY_PRICE,10,True,sample_246,EXISTING_EXPANDED_OBJECTIVE_REPLAY,LONDON,XAUUSD,False,examples/sample_246.html
sample_248,SWEEP_EXTREME,2026-03-19,2026-03-19T13:15:00+00:00,EXCLUDED,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL,SHORT,3,adelin_v2_pre_decision_sweep_v1,M5,,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL|MISSING_ENTRY_PRICE,13,True,sample_248,EXISTING_EXPANDED_OBJECTIVE_REPLAY,NEW_YORK,XAUUSD,False,examples/sample_248.html
sample_252,SWEEP_EXTREME,2026-02-23,2026-02-23T20:30:00+00:00,EXCLUDED,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL,LONG,3,adelin_v2_pre_decision_sweep_v1,M5,,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL|MISSING_ENTRY_PRICE,20,True,sample_252,EXISTING_EXPANDED_OBJECTIVE_REPLAY,OTHER,XAUUSD,False,examples/sample_252.html
sample_254,SWEEP_EXTREME,2026-03-23,2026-03-23T04:00:00+00:00,EXCLUDED,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL,LONG,3,adelin_v2_pre_decision_sweep_v1,M1,,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL|MISSING_ENTRY_PRICE,4,True,sample_254,EXISTING_EXPANDED_OBJECTIVE_REPLAY,ASIA,XAUUSD,False,examples/sample_254.html
