candidate_id,candidate_source,date,decision_timestamp,diagnostic_outcome_group,diagnostic_outcome_mapping_reason,direction,direction_confidence,direction_rule_version,direction_source,entry_price,fvg_ifvg_near_20p,hour,liquidity_htf_recent_level,m1_body_ratio,m1_close_high_ge_0_70,m1_close_location,m1_large_body_ge_0_60,nearest_fvg_ifvg_distance_pips,nearest_fvg_ifvg_zone_high,nearest_fvg_ifvg_zone_low,nearest_fvg_ifvg_zone_type,nearest_liquidity_distance_pips,nearest_liquidity_level,nearest_liquidity_type_timeframe,pre_entry_only,sample_id,sample_source,session,symbol,used_post_entry_data_for_direction,visual_html_path
sample_061,ROUND_LEVEL,2026-04-02,2026-04-02T08:00:00+00:00,FAST_FAILURE,AUTOMATIC_LABEL_FAST_SL_20_MAPPED_TO_FAST_FAILURE,SHORT,3,adelin_v2_pre_decision_sweep_v1,M5,4670.0,True,8,False,0.802956,True,0.935961,True,6.7,4688.28,4670.67,FVG_BEARISH,128.7,4657.13,M5_RECENT_LOW,True,sample_061,EXISTING_EXPANDED_OBJECTIVE_REPLAY,LONDON,XAUUSD,False,examples/sample_061.html
sample_064,ROUND_LEVEL,2026-05-04,2026-05-04T11:00:00+00:00,FAST_FAILURE,AUTOMATIC_LABEL_FAST_SL_20_MAPPED_TO_FAST_FAILURE,LONG,2,adelin_v2_pre_decision_sweep_v1,M5,4580.0,False,11,True,0.575145,False,0.297688,False,31.8,4586.77,4583.18,FVG_BEARISH,20.7,4577.93,H1_RECENT_LOW,True,sample_064,EXISTING_EXPANDED_OBJECTIVE_REPLAY,NEW_YORK,XAUUSD,False,examples/sample_064.html
sample_065,SWEEP_EXTREME,2026-05-04,2026-05-04T01:15:00+00:00,GOOD_FAST_REACTION,AUTOMATIC_LABEL_GOOD_FAST_REACTION,SHORT,2,adelin_v2_pre_decision_sweep_v1,M1,4628.63,False,1,True,0.791531,True,0.791531,True,,,,,0.0,4628.63,M15_RECENT_HIGH,True,sample_065,EXISTING_EXPANDED_OBJECTIVE_REPLAY,ASIA,XAUUSD,False,examples/sample_065.html
sample_067,ROUND_LEVEL,2026-02-04,2026-02-04T11:45:00+00:00,FAST_FAILURE,AUTOMATIC_LABEL_FAST_SL_20_MAPPED_TO_FAST_FAILURE,LONG,3,adelin_v2_pre_decision_sweep_v1,M5,5060.0,False,11,True,0.852151,False,0.137097,True,50.7,5065.4,5065.07,FVG_BEARISH,168.3,5043.17,M15_RECENT_LOW,True,sample_067,EXISTING_EXPANDED_OBJECTIVE_REPLAY,LONDON,XAUUSD,False,examples/sample_067.html
sample_068,SWEEP_EXTREME,2026-02-03,2026-02-03T19:15:00+00:00,GOOD_FAST_REACTION,AUTOMATIC_LABEL_GOOD_FAST_REACTION,LONG,3,adelin_v2_pre_decision_sweep_v1,M5,4923.46,True,19,False,0.116811,False,0.696922,False,0.0,4925.6,4917.3,FVG_BULLISH,154.2,4908.04,M5_RECENT_LOW,True,sample_068,EXISTING_EXPANDED_OBJECTIVE_REPLAY,OTHER,XAUUSD,False,examples/sample_068.html
sample_071,ROUND_LEVEL,2026-03-04,2026-03-04T09:30:00+00:00,CHOP_AFTER_ENTRY,AUTOMATIC_LABEL_GOOD_SLOW_REACTION_WITH_DIRTY_CHOP,SHORT,2,adelin_v2_pre_decision_sweep_v1,M5,5170.0,True,9,False,0.846519,False,0.026899,True,6.2,5172.11,5170.62,FVG_BEARISH,59.8,5175.98,M5_RECENT_HIGH,True,sample_071,EXISTING_EXPANDED_OBJECTIVE_REPLAY,LONDON,XAUUSD,False,examples/sample_071.html
sample_072,SWEEP_EXTREME,2026-03-04,2026-03-04T13:30:00+00:00,FAST_FAILURE,AUTOMATIC_LABEL_FAST_SL_20_MAPPED_TO_FAST_FAILURE,SHORT,2,adelin_v2_pre_decision_sweep_v1,M5,5197.67,False,13,True,0.257669,False,0.484663,False,81.8,5189.49,5186.49,FVG_BULLISH,49.1,5202.58,M15_RECENT_HIGH,True,sample_072,EXISTING_EXPANDED_OBJECTIVE_REPLAY,NEW_YORK,XAUUSD,False,examples/sample_072.html
sample_076,SWEEP_EXTREME,2026-04-02,2026-04-02T17:00:00+00:00,FAST_FAILURE,AUTOMATIC_LABEL_FAST_SL_20_MAPPED_TO_FAST_FAILURE,SHORT,3,adelin_v2_pre_decision_sweep_v1,M5,4643.82,False,17,True,0.165975,False,0.688797,False,75.1,4636.31,4634.46,FVG_BEARISH,76.4,4651.46,M15_RECENT_HIGH,True,sample_076,EXISTING_EXPANDED_OBJECTIVE_REPLAY,OTHER,XAUUSD,False,examples/sample_076.html
sample_078,ROUND_LEVEL,2026-05-04,2026-05-04T15:30:00+00:00,CHOP_AFTER_ENTRY,AUTOMATIC_LABEL_GOOD_SLOW_REACTION_WITH_DIRTY_CHOP,SHORT,3,adelin_v2_pre_decision_sweep_v1,M5,4570.0,True,15,False,0.550186,False,0.237918,False,0.0,4572.33,4560.22,FVG_BEARISH,93.2,4579.32,M5_RECENT_HIGH,True,sample_078,EXISTING_EXPANDED_OBJECTIVE_REPLAY,NEW_YORK,XAUUSD,False,examples/sample_078.html
sample_079,SWEEP_EXTREME,2026-05-04,2026-05-04T20:15:00+00:00,GOOD_FAST_REACTION,AUTOMATIC_LABEL_GOOD_FAST_REACTION,LONG,2,adelin_v2_pre_decision_sweep_v1,M5,4507.49,False,20,True,0.821522,False,0.091864,True,42.4,4520.52,4511.73,FVG_BULLISH,65.1,4500.98,H1_RECENT_LOW,True,sample_079,EXISTING_EXPANDED_OBJECTIVE_REPLAY,OTHER,XAUUSD,False,examples/sample_079.html
sample_081,ROUND_LEVEL,2026-02-04,2026-02-04T20:00:00+00:00,FAST_FAILURE,AUTOMATIC_LABEL_FAST_SL_20_MAPPED_TO_FAST_FAILURE,LONG,3,adelin_v2_pre_decision_sweep_v1,M5,4910.0,True,20,False,0.670384,False,0.228005,True,0.4,4914.08,4910.04,FVG_BEARISH,302.2,4940.22,M5_RECENT_HIGH,True,sample_081,EXISTING_EXPANDED_OBJECTIVE_REPLAY,OTHER,XAUUSD,False,examples/sample_081.html
