sample_id,source_mode,symbol,direction_guess,window_start,window_end,anchor_timestamp,anchor_timeframe,chart_path,html_path,execution_data_status,m1_candles_count,m5_candles_count,m15_candles_count,execution_window_start,execution_window_end,reviewer_should_skip_due_to_missing_ltf_data_manual,htf_liquidity_class_manual,ltf_liquidity_class_manual,multi_tf_alignment_manual,liquidity_taken_manual,liquidity_depth_quality_manual,shallow_liquidity_trap_manual,target_liquidity_available_manual,reaction_zone_present_manual,reaction_zone_type_manual,reaction_zone_age_quality_manual,fvg_valid_manual,ifvg_valid_manual,volume_crack_present_manual,volume_profile_clean_manual,number_theory_confluence_manual,adelin_v2_label_manual,would_trade_manual,no_trade_reason_manual,setup_quality_score_manual,reversal_or_continuation_manual,rare_ifvg_continuation_candidate_manual,expected_sl_pips_manual,sl_acceptable_manual,be_after_reaction_manual,early_close_candidate_manual,accumulation_after_entry_manual,m1_engulfing_against_manual,runner_target_manual,partial_management_manual,expected_target_area_manual,actual_reaction_quality_manual,actual_followthrough_quality_manual,reviewer_confidence_manual,reviewer_notes,automatic_outcome_label,direction_guess,entry_price,entry_level_source,entry_level_confidence,entry_level_reason_codes,entry_level_is_heuristic,max_favorable_pips,max_adverse_pips,time_to_100_pips_minutes,fast_reaction_100pips_15m,sl_20_hit,sl_40_hit,limitations
sample_011,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,2026-05-19T17:00:00+00:00,2026-05-19T21:30:00+00:00,2026-05-19T18:30:00+00:00,M15,charts/sample_011.svg,examples/sample_011.html,REVIEWABLE_M1_M5,176,35,11,2026-05-19T17:00:00+00:00,2026-05-19T21:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_SLOW_REACTION,SHORT,4507.69,SWEEP_EXTREME,MEDIUM,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_UPWARD_SWEEP,True,116.0,47.6,39.0,False,True,True,
sample_012,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,2026-05-19T01:30:00+00:00,2026-05-19T06:00:00+00:00,2026-05-19T03:00:00+00:00,M15,charts/sample_012.svg,examples/sample_012.html,REVIEWABLE_M1_M5,271,55,19,2026-05-19T01:30:00+00:00,2026-05-19T06:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_FAST_REACTION,SHORT,4589.0,SWEPT_LIQUIDITY_LEVEL,MEDIUM,EXPLICIT_SWEPT_LIQUIDITY_LEVEL_METADATA,True,469.5,2.4,4.0,True,False,False,
sample_013,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2026-05-19T05:45:00+00:00,2026-05-19T10:15:00+00:00,2026-05-19T07:15:00+00:00,M15,charts/sample_013.svg,examples/sample_013.html,REVIEWABLE_M1_M5,271,55,19,2026-05-19T05:45:00+00:00,2026-05-19T10:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_SLOW_REACTION,LONG,4540.0,ROUND_LEVEL,HIGH,EXPLICIT_ROUND_LEVEL_METADATA,True,192.8,91.1,124.0,False,True,True,
sample_014,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,2026-05-15T12:15:00+00:00,2026-05-15T16:45:00+00:00,2026-05-15T13:45:00+00:00,M15,charts/sample_014.svg,examples/sample_014.html,REVIEWABLE_M1_M5,271,55,19,2026-05-15T12:15:00+00:00,2026-05-15T16:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_SLOW_REACTION,SHORT,4563.57,SWEEP_EXTREME,MEDIUM,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_UPWARD_SWEEP,True,518.1,90.1,55.0,False,True,True,
sample_015,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2026-05-15T05:45:00+00:00,2026-05-15T10:15:00+00:00,2026-05-15T07:15:00+00:00,M15,charts/sample_015.svg,examples/sample_015.html,REVIEWABLE_M1_M5,271,55,19,2026-05-15T05:45:00+00:00,2026-05-15T10:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_FAST_REACTION,LONG,4610.51,SWEEP_EXTREME,MEDIUM,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_DOWNWARD_SWEEP,True,101.3,541.7,0.0,True,True,True,
sample_016,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2026-03-25T23:45:00+00:00,2026-03-26T04:15:00+00:00,2026-03-26T01:15:00+00:00,M15,charts/sample_016.svg,examples/sample_016.html,REVIEWABLE_M1_M5,256,52,18,2026-03-25T23:45:00+00:00,2026-03-26T04:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_FAST_REACTION,LONG,4497.96,SWEEP_EXTREME,MEDIUM,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_DOWNWARD_SWEEP,True,464.6,89.3,0.0,True,True,True,
sample_017,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,2026-05-18T18:15:00+00:00,2026-05-18T22:45:00+00:00,2026-05-18T19:45:00+00:00,M15,charts/sample_017.svg,examples/sample_017.html,REVIEWABLE_M1_M5,271,55,19,2026-05-18T18:15:00+00:00,2026-05-18T22:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_SLOW_REACTION,SHORT,4550.0,ROUND_LEVEL,HIGH,EXPLICIT_ROUND_LEVEL_METADATA,True,159.2,150.4,100.0,False,True,True,
sample_018,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2026-05-18T20:45:00+00:00,2026-05-19T01:15:00+00:00,2026-05-18T22:15:00+00:00,M15,charts/sample_018.svg,examples/sample_018.html,REVIEWABLE_M1_M5,151,31,11,2026-05-18T20:45:00+00:00,2026-05-19T01:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_FAST_REACTION,LONG,4534.08,SWEEP_EXTREME,LOW,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M1_DOWNWARD_SWEEP,True,526.7,0.0,0.0,True,False,False,
sample_019,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2026-05-18T17:00:00+00:00,2026-05-18T21:30:00+00:00,2026-05-18T18:30:00+00:00,M15,charts/sample_019.svg,examples/sample_019.html,REVIEWABLE_M1_M5,271,55,19,2026-05-18T17:00:00+00:00,2026-05-18T21:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_FAST_REACTION,LONG,4531.88,SWEEP_EXTREME,LOW,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M1_DOWNWARD_SWEEP,True,331.6,0.0,5.0,True,False,False,
sample_020,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,2026-05-18T23:45:00+00:00,2026-05-19T04:15:00+00:00,2026-05-19T01:15:00+00:00,M15,charts/sample_020.svg,examples/sample_020.html,REVIEWABLE_M1_M5,196,40,14,2026-05-18T23:45:00+00:00,2026-05-19T04:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAST_SL_20,SHORT,4573.28,SWEPT_LIQUIDITY_LEVEL,MEDIUM,EXPLICIT_SWEPT_LIQUIDITY_LEVEL_METADATA,True,217.7,159.6,164.0,False,True,True,
sample_021,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2026-05-18T02:15:00+00:00,2026-05-18T06:45:00+00:00,2026-05-18T03:45:00+00:00,M15,charts/sample_021.svg,examples/sample_021.html,REVIEWABLE_M1_M5,271,55,19,2026-05-18T02:15:00+00:00,2026-05-18T06:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_FAST_REACTION,LONG,4480.42,SWEPT_LIQUIDITY_LEVEL,MEDIUM,EXPLICIT_SWEPT_LIQUIDITY_LEVEL_METADATA,True,694.1,1.2,3.0,True,False,False,
sample_022,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2026-05-14T12:15:00+00:00,2026-05-14T16:45:00+00:00,2026-05-14T13:45:00+00:00,M15,charts/sample_022.svg,examples/sample_022.html,REVIEWABLE_M1_M5,271,55,19,2026-05-14T12:15:00+00:00,2026-05-14T16:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_SLOW_REACTION,LONG,4692.01,SWEEP_EXTREME,MEDIUM,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_DOWNWARD_SWEEP,True,180.5,253.6,67.0,False,True,True,
sample_023,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2026-05-13T05:45:00+00:00,2026-05-13T10:15:00+00:00,2026-05-13T07:15:00+00:00,M15,charts/sample_023.svg,examples/sample_023.html,REVIEWABLE_M1_M5,271,55,19,2026-05-13T05:45:00+00:00,2026-05-13T10:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_SLOW_REACTION,LONG,4694.3,SWEEP_EXTREME,LOW,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M1_DOWNWARD_SWEEP,True,211.1,6.0,49.0,False,False,False,
sample_024,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,2026-03-24T23:15:00+00:00,2026-03-25T03:45:00+00:00,2026-03-25T00:45:00+00:00,M15,charts/sample_024.svg,examples/sample_024.html,REVIEWABLE_M1_M5,226,46,16,2026-03-24T23:15:00+00:00,2026-03-25T03:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAST_SL_20,SHORT,4470.0,ROUND_LEVEL,MEDIUM,ANCHOR_PRICE_NEAR_ROUND_LEVEL,True,29.7,1310.4,,False,True,True,
sample_025,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2026-05-18T14:00:00+00:00,2026-05-18T18:30:00+00:00,2026-05-18T15:30:00+00:00,M15,charts/sample_025.svg,examples/sample_025.html,REVIEWABLE_M1_M5,271,55,19,2026-05-18T14:00:00+00:00,2026-05-18T18:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAST_SL_20,LONG,4570.0,ROUND_LEVEL,HIGH,EXPLICIT_ROUND_LEVEL_METADATA,True,142.7,381.2,82.0,False,True,True,
sample_026,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2026-05-18T19:45:00+00:00,2026-05-19T00:15:00+00:00,2026-05-18T21:15:00+00:00,M15,charts/sample_026.svg,examples/sample_026.html,REVIEWABLE_M1_M5,195,39,13,2026-05-18T19:45:00+00:00,2026-05-19T00:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAST_SL_20,LONG,4543.74,SWEEP_EXTREME,MEDIUM,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_DOWNWARD_SWEEP,True,307.6,96.6,46.0,False,True,True,
sample_027,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,2026-05-18T10:00:00+00:00,2026-05-18T14:30:00+00:00,2026-05-18T11:30:00+00:00,M15,charts/sample_027.svg,examples/sample_027.html,REVIEWABLE_M1_M5,271,55,19,2026-05-18T10:00:00+00:00,2026-05-18T14:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_SLOW_REACTION,SHORT,4553.12,SWEEP_EXTREME,MEDIUM,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_UPWARD_SWEEP,True,232.7,140.8,33.0,False,True,True,
sample_028,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2026-05-18T15:15:00+00:00,2026-05-18T19:45:00+00:00,2026-05-18T16:45:00+00:00,M15,charts/sample_028.svg,examples/sample_028.html,REVIEWABLE_M1_M5,271,55,19,2026-05-18T15:15:00+00:00,2026-05-18T19:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN_ENTRY_LEVEL,LONG,,UNKNOWN,UNKNOWN,EXPLICIT_SWEPT_LIQUIDITY_LEVEL_METADATA|ENTRY_DIRECTION_CONFLICT,True,,,,False,False,False,ENTRY_DIRECTION_CONFLICT
sample_029,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN_DIRECTION,2026-05-17T23:30:00+00:00,2026-05-18T04:00:00+00:00,2026-05-18T01:00:00+00:00,M15,charts/sample_029.svg,examples/sample_029.html,REVIEWABLE_M1_M5,181,37,13,2026-05-17T23:30:00+00:00,2026-05-18T04:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN_ENTRY_LEVEL,UNKNOWN_DIRECTION,,UNKNOWN,UNKNOWN,DIRECTION_REQUIRED_FOR_SWEEP_ENTRY,True,,,,False,False,False,DIRECTION_REQUIRED_FOR_SWEEP_ENTRY
sample_030,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,2026-05-13T12:00:00+00:00,2026-05-13T16:30:00+00:00,2026-05-13T13:30:00+00:00,M15,charts/sample_030.svg,examples/sample_030.html,REVIEWABLE_M1_M5,271,55,19,2026-05-13T12:00:00+00:00,2026-05-13T16:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_SLOW_REACTION,SHORT,4701.7,SWEEP_EXTREME,LOW,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M1_UPWARD_SWEEP,True,322.5,37.3,33.0,False,True,False,
sample_031,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2026-05-11T05:45:00+00:00,2026-05-11T10:15:00+00:00,2026-05-11T07:15:00+00:00,M15,charts/sample_031.svg,examples/sample_031.html,REVIEWABLE_M1_M5,271,55,19,2026-05-11T05:45:00+00:00,2026-05-11T10:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_REACTION_BUT_DIRTY_ACCUMULATION,LONG,4673.47,SWEEP_EXTREME,MEDIUM,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_DOWNWARD_SWEEP,True,72.8,253.3,,False,True,True,
sample_032,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,2026-03-23T23:45:00+00:00,2026-03-24T04:15:00+00:00,2026-03-24T01:15:00+00:00,M15,charts/sample_032.svg,examples/sample_032.html,REVIEWABLE_M1_M5,256,52,18,2026-03-23T23:45:00+00:00,2026-03-24T04:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_FAST_REACTION,SHORT,4444.65,SWEEP_EXTREME,MEDIUM,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_UPWARD_SWEEP,True,1387.6,37.1,5.0,True,True,False,
sample_033,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,2026-05-18T12:30:00+00:00,2026-05-18T17:00:00+00:00,2026-05-18T14:00:00+00:00,M15,charts/sample_033.svg,examples/sample_033.html,REVIEWABLE_M1_M5,271,55,19,2026-05-18T12:30:00+00:00,2026-05-18T17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_FAST_REACTION,SHORT,4540.0,ROUND_LEVEL,HIGH,EXPLICIT_ROUND_LEVEL_METADATA,True,101.5,442.7,10.0,True,True,True,
sample_034,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2026-05-18T01:00:00+00:00,2026-05-18T05:30:00+00:00,2026-05-18T02:30:00+00:00,M15,charts/sample_034.svg,examples/sample_034.html,REVIEWABLE_M1_M5,271,55,19,2026-05-18T01:00:00+00:00,2026-05-18T05:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_REACTION_BUT_DIRTY_ACCUMULATION,LONG,4534.73,SWEEP_EXTREME,MEDIUM,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_DOWNWARD_SWEEP,True,94.0,544.3,,False,True,True,
sample_035,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2026-05-18T07:45:00+00:00,2026-05-18T12:15:00+00:00,2026-05-18T09:15:00+00:00,M15,charts/sample_035.svg,examples/sample_035.html,REVIEWABLE_M1_M5,271,55,19,2026-05-18T07:45:00+00:00,2026-05-18T12:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_FAST_REACTION,LONG,4529.68,SWEEP_EXTREME,MEDIUM,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_DOWNWARD_SWEEP,True,302.4,0.0,1.0,True,False,False,
sample_036,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2026-05-18T09:00:00+00:00,2026-05-18T13:30:00+00:00,2026-05-18T10:30:00+00:00,M15,charts/sample_036.svg,examples/sample_036.html,REVIEWABLE_M1_M5,271,55,19,2026-05-18T09:00:00+00:00,2026-05-18T13:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_REACTION_BUT_DIRTY_ACCUMULATION,LONG,4552.07,SWEPT_LIQUIDITY_LEVEL,MEDIUM,EXPLICIT_SWEPT_LIQUIDITY_LEVEL_METADATA,True,78.5,222.2,,False,True,True,
sample_037,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2026-05-15T15:15:00+00:00,2026-05-15T19:45:00+00:00,2026-05-15T16:45:00+00:00,M15,charts/sample_037.svg,examples/sample_037.html,REVIEWABLE_M1_M5,271,55,19,2026-05-15T15:15:00+00:00,2026-05-15T19:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN_ENTRY_LEVEL,LONG,,UNKNOWN,UNKNOWN,EXPLICIT_SWEPT_LIQUIDITY_LEVEL_METADATA|ENTRY_DIRECTION_CONFLICT,True,,,,False,False,False,ENTRY_DIRECTION_CONFLICT
sample_038,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2026-05-11T12:15:00+00:00,2026-05-11T16:45:00+00:00,2026-05-11T13:45:00+00:00,M15,charts/sample_038.svg,examples/sample_038.html,REVIEWABLE_M1_M5,271,55,19,2026-05-11T12:15:00+00:00,2026-05-11T16:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUNNER_CANDIDATE,LONG,4660.26,SWEEP_EXTREME,MEDIUM,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_DOWNWARD_SWEEP,True,883.6,0.0,18.0,False,False,False,
sample_039,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,2026-05-08T05:30:00+00:00,2026-05-08T10:00:00+00:00,2026-05-08T07:00:00+00:00,M15,charts/sample_039.svg,examples/sample_039.html,REVIEWABLE_M1_M5,271,55,19,2026-05-08T05:30:00+00:00,2026-05-08T10:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_FAST_REACTION,SHORT,4731.1,SWEEP_EXTREME,MEDIUM,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_UPWARD_SWEEP,True,336.8,36.1,0.0,True,True,False,
sample_040,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,2026-03-22T23:15:00+00:00,2026-03-23T03:45:00+00:00,2026-03-23T00:45:00+00:00,M15,charts/sample_040.svg,examples/sample_040.html,REVIEWABLE_M1_M5,226,46,16,2026-03-22T23:15:00+00:00,2026-03-23T03:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_FAST_REACTION,SHORT,4536.29,SWEEP_EXTREME,MEDIUM,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_UPWARD_SWEEP,True,2163.2,0.0,0.0,True,False,False,
